obra_id|obra_url|obra_title|obra_date|obra_medium|obra_format|referente_id|referente_url|referente_title|referente_date|referente_publisher
674|https://bga.uniandes.edu.co/catalogo/api/items/674|Los bombones de Renoir|1976||Tinta sobre papel|675|https://bga.uniandes.edu.co/catalogo/api/items/675|Los bombones de Renoir|1976|
672|https://bga.uniandes.edu.co/catalogo/api/items/672|Bocetos heliograbados (Victor mora-La iglesia esta en peligro-Viva España)|1974-1976|100x70 cm|Tinta y contact sobre papel mantequilla|673|https://bga.uniandes.edu.co/catalogo/api/items/673|La iglesia está en peligro|1976|
672|https://bga.uniandes.edu.co/catalogo/api/items/672|Bocetos heliograbados (Victor mora-La iglesia esta en peligro-Viva España)|1974-1976|100x70 cm|Tinta y contact sobre papel mantequilla|733|https://bga.uniandes.edu.co/catalogo/api/items/733|Víctor Mora|1978|
665|https://bga.uniandes.edu.co/catalogo/api/items/665|Mesa Braque (Boceto)|1975|Diametro 60 cm |Lápiz y marcador sobre papel|666|https://bga.uniandes.edu.co/catalogo/api/items/666|Mesa Braque |1975|
662|https://bga.uniandes.edu.co/catalogo/api/items/662|Jackeline Oasis (Boceto)|1975|50.4 x50.5 cm|Heliograbado y témpera sobre papel|663|https://bga.uniandes.edu.co/catalogo/api/items/663|Jackeline Oasis|1975|
661|https://bga.uniandes.edu.co/catalogo/api/items/661|Bocetos heliograbados 1 (Jacqueline-Klonk-boceto contact)|1974|50x70 cm|Tinta y contact sobre papel mantequilla|663|https://bga.uniandes.edu.co/catalogo/api/items/663|Jackeline Oasis|1975|
657|https://bga.uniandes.edu.co/catalogo/api/items/657|Nací en Florencia-Bocetos heliograbado (2 heliograbados)|1974||Heliograbado/ Heliograbado y marcador sobre papel|658|https://bga.uniandes.edu.co/catalogo/api/items/658|Nací en Florencia y tenía veintiseis años cuando fue pintado mi retrato (esta frase pronunciada en voz dulce y baja)|1974|
656|https://bga.uniandes.edu.co/catalogo/api/items/656|Nací en Florencia-Bocetos preliminares (3 dibujos)|1974||Tinta sobre papel mantequilla|658|https://bga.uniandes.edu.co/catalogo/api/items/658|Nací en Florencia y tenía veintiseis años cuando fue pintado mi retrato (esta frase pronunciada en voz dulce y baja)|1974|
653|https://bga.uniandes.edu.co/catalogo/api/items/653|Los reveses de la realeza (boceto)|1974|65.4cm x 70.3cm|Tinta y contact sobre papel mantequilla|652|https://bga.uniandes.edu.co/catalogo/api/items/652|Los reveses de la realeza|1974|
653|https://bga.uniandes.edu.co/catalogo/api/items/653|Los reveses de la realeza (boceto)|1974|65.4cm x 70.3cm|Tinta y contact sobre papel mantequilla|654|https://bga.uniandes.edu.co/catalogo/api/items/654|Los reveses de la realeza|1974|
